recipe,meal,status,issues,step_count,ingredients
Овсянка с черникой и йогуртом,Завтрак,approved,,2,"Овсянка, Греческий йогурт 2%, Черника, Семена чиа, Соль"
Овсянка с малиной и миндалём,Завтрак,approved,,3,"Овсянка, Малина, Миндаль, Молоко 3,2%, Соль"
Овсянка с яблоком и льном,Завтрак,approved,,3,"Овсянка, Яблоко, Семена льна, Молоко 3,2%, Соль"
Овсянка с грушей и грецким орехом,Завтрак,approved,,3,"Овсянка, Груша, Грецкие орехи, Кефир 2,5%, Соль"
Овсянка с бананом и сливочным маслом,Завтрак,approved,,4,"Овсянка, Банан, Молоко 3,2%, Сливочное масло, Соль"
Гречневая каша с яблоком,Завтрак,approved,,3,"Гречка, Яблоко, Молоко 3,2%, Семена чиа"
Киноа с клубникой и йогуртом,Завтрак,approved,,5,"Киноа, Клубника, Греческий йогурт 2%, Мёд"
Йогурт-боул с голубикой,Завтрак,approved,,5,"Греческий йогурт 2%, Голубика, Овсянка, Фисташки, Соль"
Йогурт-боул с малиной и чиа,Завтрак,approved,,3,"Греческий йогурт 2%, Малина, Семена чиа, Банан"
Творог с клубникой и миндалём,Завтрак,approved,,4,"Творог 5%, Клубника, Миндаль, Мёд"
Творог с черникой и бананом,Завтрак,approved,,4,"Творог 5%, Черника, Банан, Семена чиа"
Творожные оладьи с овсянкой,Завтрак,approved,,4,"Творог 5%, Овсянка, Яйца, Банан, Соль"
Омлет со шпинатом и томатами,Завтрак,approved,,6,"Яйца, Шпинат, Помидоры, Чеддер, Соль, Чёрный перец, Оливковое масло, Базилик"
Омлет с брокколи и сыром,Завтрак,approved,,5,"Яйца, Брокколи, Гауда, Соль, Чёрный перец"
Омлет с индейкой и перцем,Завтрак,approved,,6,"Яйца, Индейка, Перец, Соль, Чёрный перец, Оливковое масло, Чеснок, Соевый соус, Имбирь"
Яичница с авокадо и тостом,Завтрак,approved,,5,"Яйца, Авокадо, Хлеб цельнозерновой, Помидоры, Соль, Чёрный перец, Оливковое масло, Базилик"
Скрэмбл со слабосолёным лососем и шпинатом,Завтрак,approved,,7,"Яйца, Шпинат, Оливковое масло, Лимон, Соль, Чёрный перец, Лосось слабосолёный"
"Тост с авокадо, фетой и помидорами",Завтрак,approved,,4,"Хлеб цельнозерновой, Авокадо, Фета, Помидоры, Лимон, Чёрный перец"
Тост с рикоттой и клубникой,Завтрак,approved,,4,"Хлеб цельнозерновой, Рикотта, Клубника, Мёд"
Тост с тунцом и огурцом,Завтрак,approved,,6,"Хлеб цельнозерновой, Тунец консервированный в собственном соку, Огурцы, Греческий йогурт 2%, Чёрный перец, Лимон, Горчица, Оливковое масло"
Буррито-завтрак с яйцом и фасолью,Завтрак,approved,,6,"Яйца, Фасоль готовая, Перец, Пармезан, Соль, Чёрный перец, Оливковое масло, Лимон, Тахини, Чеснок"
Французский тост с творогом и малиной,Завтрак,approved,,6,"Хлеб цельнозерновой, Яйца, Творог 5%, Малина, Мёд, Соль, Чёрный перец"
Фриттата со шпинатом и творогом,Завтрак,approved,,6,"Яйца, Творог 5%, Шпинат, Соль, Чёрный перец, Оливковое масло"
Рисовая каша с вишней,Завтрак,approved,,3,"Рис, Молоко 3,2%, Вишня, Миндаль"
Кефирный боул с ягодами,Завтрак,approved,,4,"Кефир 2,5%, Малина, Черника, Овсянка, Соль"
Смузи с бананом и черникой,Завтрак,approved,,3,"Банан, Черника, Греческий йогурт 2%, Овсянка, Соль"
Смузи с манго и кефиром,Завтрак,approved,,2,"Манго, Кефир 2,5%, Банан, Семена чиа"
Смузи с клубникой и бананом,Завтрак,approved,,2,"Клубника, Банан, Греческий йогурт 2%, Молоко 3,2%"
Чиа-пудинг с малиной,Завтрак,approved,,3,"Семена чиа, Молоко 3,2%, Малина, Греческий йогурт 2%"
Чиа-пудинг с черникой,Завтрак,approved,,3,"Семена чиа, Молоко 3,2%, Черника, Банан"
Тост с фетой и томатами,Завтрак,approved,,3,"Хлеб цельнозерновой, Фета, Помидоры, Шпинат"
Горячий сэндвич с индейкой,Завтрак,approved,,5,"Хлеб цельнозерновой, Индейка, Фета, Помидоры, Чёрный перец, Соль, Чеснок, Горчица, Мёд, Оливковое масло"
Картофельный завтрак с яйцом,Завтрак,approved,,5,"Картофель, Яйца, Шпинат, Помидоры, Соль, Чёрный перец, Оливковое масло, Базилик"
Батат с яйцом и авокадо,Завтрак,approved,,4,"Батат, Яйца, Авокадо, Соль, Чёрный перец"
Киноа-омлет с овощами,Завтрак,approved,,5,"Киноа, Яйца, Кабачок, Перец, Соль, Чёрный перец, Оливковое масло"
Творожные панкейки с черникой,Завтрак,approved,,4,"Творог 5%, Яйца, Овсянка, Черника"
Творожная миска с ежевикой,Завтрак,approved,,4,"Творог 5%, Ежевика, Грецкие орехи"
Йогурт с красной смородиной,Завтрак,approved,,5,"Греческий йогурт 2%, Красная смородина, Овсянка, Миндаль, Соль"
Йогурт с чёрной смородиной,Завтрак,approved,,4,"Греческий йогурт 2%, Чёрная смородина, Семена чиа, Банан"
Перловая каша с грушей,Завтрак,approved,,3,"Перловка, Груша, Молоко 3,2%, Фисташки"
Курица с рисом и брокколи,Обед,approved,,5,"Курица, Рис, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с гречкой и кабачком,Обед,approved,,6,"Курица, Гречка, Кабачок, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Греческий йогурт 2%, Укроп"
Курица с булгуром и перцем,Обед,approved,,6,"Курица, Булгур, Перец, Шпинат, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец, Соевый соус, Имбирь"
Курица с киноа и авокадо,Обед,approved,,5,"Курица, Киноа, Авокадо, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Индейка с гречкой и овощами,Обед,approved,,5,"Индейка, Гречка, Перец, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с бурым рисом,Обед,approved,,5,"Индейка, Рис бурый, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с кускусом,Обед,approved,,6,"Индейка, Кускус, Кабачок, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Говядина с булгуром,Обед,approved,,5,"Говядина, Булгур, Перец, Шпинат, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Говядина с гречкой и свёклой,Обед,approved,,5,"Говядина, Гречка, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок, Уксус винный"
Свинина с картофелем и капустой,Обед,approved,,5,"Свинина постная, Картофель, Капуста, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Уксус винный"
Лосось с киноа и авокадо,Обед,approved,,5,"Лосось свежий, Киноа, Авокадо, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль"
Лосось с картофелем и брокколи,Обед,approved,,5,"Лосось свежий, Картофель, Брокколи, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Форель с булгуром,Обед,approved,,5,"Форель, Булгур, Зелёная фасоль, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с рисом и овощами,Обед,approved,,5,"Треска, Рис, Кабачок, Перец, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с картофелем,Обед,approved,,5,"Треска, Картофель, Капуста, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Свежий тунец с бурым рисом и авокадо,Обед,approved,,5,"Тунец свежий, Рис бурый, Авокадо, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Свежий тунец с цельнозерновой пастой и томатами,Обед,approved,,5,"Тунец свежий, Макароны цельнозерновые, Помидоры, Шпинат, Лимон, Оливковое масло, Чёрный перец, Чеснок, Базилик, Соль"
Креветки с цельнозерновой пастой,Обед,approved,,5,"Креветки сырые, Макароны цельнозерновые, Кабачок, Помидоры, Лимон, Оливковое масло, Чёрный перец, Чеснок, Базилик, Соль"
Креветки с рисом и брокколи,Обед,approved,,5,"Креветки сырые, Рис, Брокколи, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Скумбрия с картофелем,Обед,approved,,5,"Скумбрия, Картофель, Салат, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Чечевица с киноа и шпинатом,Обед,approved,,5,"Чечевица готовая, Киноа, Шпинат, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Нут с тыквой и киноа,Обед,approved,,5,"Нут готовый, Тыква, Киноа, Шпинат, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Фасоль с бурым рисом,Обед,approved,,5,"Фасоль готовая, Рис бурый, Перец, Авокадо, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тофу с гречкой и брокколи,Обед,approved,,5,"Тофу, Гречка, Брокколи, Перец, Соевый соус, Имбирь, Чеснок"
Тофу с рисом и овощами,Обед,approved,,5,"Тофу, Рис, Кабачок, Морковь, Соевый соус, Имбирь, Чеснок"
Хумус-боул с нутом,Обед,approved,,6,"Хумус, Нут готовый, Огурцы, Помидоры, Булгур, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Киноа-боул с фетой,Обед,approved,,5,"Киноа, Фета, Помидоры, Огурцы, Шпинат, Соль, Чёрный перец, Лимон, Оливковое масло, Петрушка"
Паста с курицей и шпинатом,Обед,approved,,5,"Курица, Макароны цельнозерновые, Шпинат, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Паста с индейкой и кабачком,Обед,approved,,5,"Индейка, Макароны цельнозерновые, Кабачок, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Булгур с говядиной и овощами,Обед,approved,,5,"Говядина, Булгур, Баклажан, Перец, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Кускус с курицей и овощами,Обед,approved,,6,"Курица, Кускус, Огурцы, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Перловка с индейкой и овощами,Обед,approved,,5,"Индейка, Перловка, Шпинат, Кабачок, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Картофельный боул с тунцом,Обед,approved,,7,"Картофель, Тунец консервированный в собственном соку, Огурцы, Греческий йогурт 2%, Лимон, Оливковое масло, Чёрный перец"
Батат с курицей и авокадо,Обед,approved,,5,"Батат, Курица, Авокадо, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Батат с нутом и шпинатом,Обед,approved,,6,"Батат, Нут готовый, Шпинат, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тёплый салат с лососем,Обед,approved,,5,"Лосось свежий, Картофель, Салат, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Тёплый салат с индейкой,Обед,approved,,6,"Индейка, Булгур, Салат, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок, Греческий йогурт 2%, Лимон, Укроп"
Боул с креветками и киноа,Обед,approved,,5,"Креветки сырые, Киноа, Авокадо, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль"
Чечевичный боул с овощами,Обед,approved,,5,"Чечевица готовая, Булгур, Брокколи, Перец, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
