recipe,ingredient,grams,kcal_100,protein_100,fat_100,carbs_100,fiber_100,protein_contribution,kcal_contribution
Овсянка с черникой и йогуртом,Овсянка,54,370,13,7,62,10,7.02,199.8
Овсянка с черникой и йогуртом,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Овсянка с черникой и йогуртом,Черника,90,57,0.7,0.3,14,2.4,0.63,51.3
Овсянка с черникой и йогуртом,Семена чиа,14,486,17,31,42,34,2.38,68.0
Овсянка с черникой и йогуртом,Соль,0.5,0,0,0,0,0,0.0,0.0
Овсянка с малиной и миндалём,Овсянка,54,370,13,7,62,10,7.02,199.8
Овсянка с малиной и миндалём,Малина,90,52,1.2,0.7,12,6.5,1.08,46.8
Овсянка с малиной и миндалём,Миндаль,18,579,21,50,22,12.5,3.78,104.2
Овсянка с малиной и миндалём,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Овсянка с малиной и миндалём,Соль,0.5,0,0,0,0,0,0.0,0.0
Овсянка с яблоком и льном,Овсянка,54,370,13,7,62,10,7.02,199.8
Овсянка с яблоком и льном,Яблоко,135,52,0.3,0.2,14,2.4,0.41,70.2
Овсянка с яблоком и льном,Семена льна,14,534,18,42,29,27,2.52,74.8
Овсянка с яблоком и льном,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Овсянка с яблоком и льном,Соль,0.5,0,0,0,0,0,0.0,0.0
Овсянка с грушей и грецким орехом,Овсянка,54,370,13,7,62,10,7.02,199.8
Овсянка с грушей и грецким орехом,Груша,144,57,0.4,0.1,15,3.1,0.58,82.1
Овсянка с грушей и грецким орехом,Грецкие орехи,18,654,15,65,14,6.7,2.7,117.7
Овсянка с грушей и грецким орехом,"Кефир 2,5%",225,53,3,2.5,4,0,6.75,119.2
Овсянка с грушей и грецким орехом,Соль,0.5,0,0,0,0,0,0.0,0.0
Овсянка с бананом и сливочным маслом,Овсянка,54,370,13,7,62,10,7.02,199.8
Овсянка с бананом и сливочным маслом,Банан,108,89,1.1,0.3,23,2.6,1.19,96.1
Овсянка с бананом и сливочным маслом,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Овсянка с бананом и сливочным маслом,Сливочное масло,7,717,0.9,81.1,0.1,0,0.06,50.2
Овсянка с бананом и сливочным маслом,Соль,0.5,0,0,0,0,0,0.0,0.0
Гречневая каша с яблоком,Гречка,68,343,13,3.4,72,10,8.84,233.2
Гречневая каша с яблоком,Яблоко,135,52,0.3,0.2,14,2.4,0.41,70.2
Гречневая каша с яблоком,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Гречневая каша с яблоком,Семена чиа,14,486,17,31,42,34,2.38,68.0
Киноа с клубникой и йогуртом,Киноа,63,368,14,6,64,7,8.82,231.8
Киноа с клубникой и йогуртом,Клубника,108,32,0.7,0.3,7.7,2,0.76,34.6
Киноа с клубникой и йогуртом,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Киноа с клубникой и йогуртом,Мёд,11,304,0.3,0,82,0.2,0.03,33.4
Йогурт-боул с голубикой,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Йогурт-боул с голубикой,Голубика,90,57,0.7,0.3,14,2.4,0.63,51.3
Йогурт-боул с голубикой,Овсянка,54,370,13,7,62,10,7.02,199.8
Йогурт-боул с голубикой,Фисташки,18,562,20,45,28,10,3.6,101.2
Йогурт-боул с голубикой,Соль,0.5,0,0,0,0,0,0.0,0.0
Йогурт-боул с малиной и чиа,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Йогурт-боул с малиной и чиа,Малина,90,52,1.2,0.7,12,6.5,1.08,46.8
Йогурт-боул с малиной и чиа,Семена чиа,14,486,17,31,42,34,2.38,68.0
Йогурт-боул с малиной и чиа,Банан,108,89,1.1,0.3,23,2.6,1.19,96.1
Творог с клубникой и миндалём,Творог 5%,180,121,17,5,3,0,30.6,217.8
Творог с клубникой и миндалём,Клубника,108,32,0.7,0.3,7.7,2,0.76,34.6
Творог с клубникой и миндалём,Миндаль,18,579,21,50,22,12.5,3.78,104.2
Творог с клубникой и миндалём,Мёд,11,304,0.3,0,82,0.2,0.03,33.4
Творог с черникой и бананом,Творог 5%,180,121,17,5,3,0,30.6,217.8
Творог с черникой и бананом,Черника,90,57,0.7,0.3,14,2.4,0.63,51.3
Творог с черникой и бананом,Банан,108,89,1.1,0.3,23,2.6,1.19,96.1
Творог с черникой и бананом,Семена чиа,14,486,17,31,42,34,2.38,68.0
Творожные оладьи с овсянкой,Творог 5%,150,121,17,5,3,0,25.5,181.5
Творожные оладьи с овсянкой,Овсянка,45,370,13,7,62,10,5.85,166.5
Творожные оладьи с овсянкой,Яйца,60,143,12.6,9.5,0.7,0,7.56,85.8
Творожные оладьи с овсянкой,Банан,80,89,1.1,0.3,23,2.6,0.88,71.2
Творожные оладьи с овсянкой,Соль,0.5,0,0,0,0,0,0.0,0.0
Омлет со шпинатом и томатами,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Омлет со шпинатом и томатами,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Омлет со шпинатом и томатами,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Омлет со шпинатом и томатами,Чеддер,36,403,25,33,1.3,0,9.0,145.1
Омлет со шпинатом и томатами,Соль,1,0,0,0,0,0,0.0,0.0
Омлет со шпинатом и томатами,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Омлет со шпинатом и томатами,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Омлет со шпинатом и томатами,Базилик,2,23,3.2,0.6,2.7,1.6,0.06,0.5
Омлет с брокколи и сыром,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Омлет с брокколи и сыром,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Омлет с брокколи и сыром,Гауда,36,356,25,27,2.2,0,9.0,128.2
Омлет с брокколи и сыром,Соль,1,0,0,0,0,0,0.0,0.0
Омлет с брокколи и сыром,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Омлет с индейкой и перцем,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Омлет с индейкой и перцем,Индейка,153,114,23.7,1.5,0,0,36.26,174.4
Омлет с индейкой и перцем,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Омлет с индейкой и перцем,Соль,0.8,0,0,0,0,0,0.0,0.0
Омлет с индейкой и перцем,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Омлет с индейкой и перцем,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Омлет с индейкой и перцем,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Омлет с индейкой и перцем,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Омлет с индейкой и перцем,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Яичница с авокадо и тостом,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Яичница с авокадо и тостом,Авокадо,63,160,2,15,8.5,6.7,1.26,100.8
Яичница с авокадо и тостом,Хлеб цельнозерновой,54,252,12.45,3.5,42.71,6,6.72,136.1
Яичница с авокадо и тостом,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Яичница с авокадо и тостом,Соль,1,0,0,0,0,0,0.0,0.0
Яичница с авокадо и тостом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Яичница с авокадо и тостом,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Яичница с авокадо и тостом,Базилик,2,23,3.2,0.6,2.7,1.6,0.06,0.5
Скрэмбл со слабосолёным лососем и шпинатом,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Скрэмбл со слабосолёным лососем и шпинатом,Шпинат,60,23,2.9,0.4,3.6,2.2,1.74,13.8
Скрэмбл со слабосолёным лососем и шпинатом,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Скрэмбл со слабосолёным лососем и шпинатом,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Скрэмбл со слабосолёным лососем и шпинатом,Соль,0.6,0,0,0,0,0,0.0,0.0
Скрэмбл со слабосолёным лососем и шпинатом,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Скрэмбл со слабосолёным лососем и шпинатом,Лосось слабосолёный,60,202,22.5,12.5,0,0,13.5,121.2
"Тост с авокадо, фетой и помидорами",Хлеб цельнозерновой,70,252,12.45,3.5,42.71,6,8.71,176.4
"Тост с авокадо, фетой и помидорами",Авокадо,65,160,2,15,8.5,6.7,1.3,104.0
"Тост с авокадо, фетой и помидорами",Фета,35,265,14.2,21.5,3.9,0,4.97,92.8
"Тост с авокадо, фетой и помидорами",Помидоры,110,18,0.9,0.2,3.9,1.2,0.99,19.8
"Тост с авокадо, фетой и помидорами",Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
"Тост с авокадо, фетой и помидорами",Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Тост с рикоттой и клубникой,Хлеб цельнозерновой,54,252,12.45,3.5,42.71,6,6.72,136.1
Тост с рикоттой и клубникой,Рикотта,90,174,11,13,3,0,9.9,156.6
Тост с рикоттой и клубникой,Клубника,108,32,0.7,0.3,7.7,2,0.76,34.6
Тост с рикоттой и клубникой,Мёд,11,304,0.3,0,82,0.2,0.03,33.4
Тост с тунцом и огурцом,Хлеб цельнозерновой,54,252,12.45,3.5,42.71,6,6.72,136.1
Тост с тунцом и огурцом,Огурцы,135,15,0.7,0.1,3.6,0.5,0.94,20.2
Тост с тунцом и огурцом,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Тост с тунцом и огурцом,Тунец консервированный в собственном соку,144,116,25.5,0.8,0,0,36.72,167.0
Тост с тунцом и огурцом,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Тост с тунцом и огурцом,Лимон,10,29,1.1,0.3,9.3,2.8,0.11,2.9
Тост с тунцом и огурцом,Горчица,6,66,4.4,4,5.8,3.3,0.26,4.0
Тост с тунцом и огурцом,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Буррито-завтрак с яйцом и фасолью,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Буррито-завтрак с яйцом и фасолью,Фасоль готовая,117,127,8.7,0.5,22.8,6.4,10.18,148.6
Буррито-завтрак с яйцом и фасолью,Перец,135,31,1,0.3,6,2.1,1.35,41.9
Буррито-завтрак с яйцом и фасолью,Пармезан,22,431,38,29,4.1,0,8.36,94.8
