product,kcal_100g,protein_g,fat_g,carbs_g,fiber_g,measurement_basis,changed_from_3.0
Авокадо,160,2,15,8.5,6.7,сырой съедобный продукт,NO
Апельсин,47,0.9,0.1,12,2.4,сырой съедобный продукт,NO
Арахисовая паста,588,25,50,20,6,готовый продукт,NO
Базилик,23,3.2,0.6,2.7,1.6,сырой съедобный продукт,NO
Баклажан,25,1,0.2,6,3,сырой съедобный продукт,NO
Банан,89,1.1,0.3,23,2.6,сырой съедобный продукт,NO
Батат,86,1.6,0.1,20,3,сырой съедобный продукт,NO
Бри,334,21,28,0.5,0,как продаётся,NO
Брокколи,34,2.8,0.4,7,2.6,сырой съедобный продукт,NO
Булгур,342,12,1.3,76,12.5,сухой продукт,NO
Виноград,69,0.7,0.2,18,0.9,сырой съедобный продукт,NO
Вишня,50,1,0.3,12,1.6,сырой съедобный продукт,NO
Гауда,356,25,27,2.2,0,как продаётся,NO
Говядина,176,21.4,10.0,0,0,сырой продукт,YES
Голубика,57,0.7,0.3,14,2.4,сырой съедобный продукт,NO
Горох,84,5.4,0.4,15.6,5.5,готовый / отварной,YES
Горчица,66,4.4,4,5.8,3.3,готовый продукт,NO
Грецкие орехи,654,15,65,14,6.7,сырой съедобный продукт,NO
Греческий йогурт,73,9,2,4,0,как продаётся,NO
Гречка,343,13,3.4,72,10,сухой продукт,NO
Груша,57,0.4,0.1,15,3.1,сырой съедобный продукт,NO
Грюйер,413,30,32,0.4,0,как продаётся,NO
Ежевика,43,1.4,0.5,10,5.3,сырой съедобный продукт,NO
Зелёная фасоль,31,1.8,0.2,7,3.4,сырой съедобный продукт,NO
Имбирь,80,1.8,0.8,17.8,2,сырой съедобный продукт,NO
Индейка,114,23.7,1.5,0,0,сырой продукт,YES
Йогурт безлактозный,73,9,2,4,0,как продаётся,NO
Кабачок,17,1.2,0.3,3.1,1,сырой съедобный продукт,NO
Капуста,25,1.3,0.1,5.8,2.5,сырой съедобный продукт,NO
Картофель,77,2,0.1,17,2.2,сырой съедобный продукт,NO
Кефир,53,3,2.5,4,0,как продаётся,NO
Кешью,553,18,44,30,3.3,сырой съедобный продукт,NO
Киви,61,1.1,0.5,15,3,сырой съедобный продукт,NO
Киноа,368,14,6,64,7,сухой продукт,NO
Клубника,32,0.7,0.3,7.7,2,сырой съедобный продукт,NO
Клюква,46,0.4,0.1,12,4.6,сырой съедобный продукт,NO
Красная смородина,56,1.4,0.2,14,4.3,сырой съедобный продукт,NO
Креветки,85,20.1,0.5,0.2,0,сырой продукт,YES
Курица,120,22.5,2.6,0,0,сырой продукт,YES
Кускус,376,12.8,0.6,77,5,сухой продукт,NO
Лайм,30,0.7,0.2,10.5,2.8,сырой съедобный продукт,NO
Лимон,29,1.1,0.3,9.3,2.8,сырой съедобный продукт,NO
Лосось,208,20,13,0,0,сырой продукт,NO
Макароны,350,12,1.5,72,3,сухой продукт,NO
Макароны цельнозерновые,348,14,2.5,64,8,сухой продукт,NO
Малина,52,1.2,0.7,12,6.5,сырой съедобный продукт,NO
Манго,60,0.8,0.4,15,1.6,сырой съедобный продукт,NO
Мандарин,53,0.8,0.3,13,1.8,сырой съедобный продукт,NO
Миндаль,579,21,50,22,12.5,сырой съедобный продукт,NO
Молоко,60,3.2,3.2,4.7,0,как продаётся,NO
Молоко безлактозное,60,3.2,3.2,4.7,0,как продаётся,NO
Морковь,41,0.9,0.2,10,2.8,сырой съедобный продукт,NO
Моцарелла,254,24.3,15.9,2.8,0,как продаётся,YES
Мёд,304,0.3,0,82,0.2,как продаётся,NO
Нут,164,8.9,2.6,27.4,7.6,готовый / отварной,YES
Овсянка,370,13,7,62,10,сухой продукт,NO
Огурцы,15,0.7,0.1,3.6,0.5,сырой съедобный продукт,NO
Оливковое масло,884,0,100,0,0,как продаётся,NO
Пармезан,431,38,29,4.1,0,как продаётся,NO
Перец,31,1,0.3,6,2.1,сырой съедобный продукт,NO
Перловка,352,9.9,1.2,78,15.6,сухой продукт,NO
Персик,39,0.9,0.3,10,1.5,сырой съедобный продукт,NO
Петрушка,36,3,0.8,6.3,3.3,сырой съедобный продукт,NO
Помидоры,18,0.9,0.2,3.9,1.2,сырой съедобный продукт,NO
Рикотта,174,11,13,3,0,как продаётся,NO
Рис,360,7,1,79,1.3,сухой продукт,NO
Рис бурый,370,7.9,2.9,77,3.5,сухой продукт,NO
Салат,15,1.4,0.2,2.9,1.3,сырой съедобный продукт,NO
Свинина постная,143,21.4,5.7,0,0,сырой продукт,YES
Свёкла,43,1.6,0.2,10,2.8,сырой съедобный продукт,NO
Семена льна,534,18,42,29,27,сырой съедобный продукт,NO
Семена чиа,486,17,31,42,34,сырой съедобный продукт,NO
Скумбрия,205,19,14,0,0,сырой продукт,NO
Соевый соус,53,8.1,0.6,4.9,0.8,готовый продукт,NO
Соль,0,0,0,0,0,как продаётся,NO
Сушёные травы,250,10,5,40,25,как продаётся,NO
Тахини,595,17,54,21,9.3,готовый продукт,NO
Творог,121,17,5,3,0,как продаётся,NO
Томатная паста,82,4.3,0.5,18.9,4.1,готовый продукт,NO
Тофу,144,17,9,3,2,сырой съедобный продукт,NO
Треска,82,18,0.7,0,0,сырой продукт,NO
Тунец консервированный,116,26,1,0,0,без жидкости,NO
Тунец свежий,109,24.4,0.5,0,0,сырой продукт,YES
Тыква,26,1,0.1,6.5,0.5,сырой съедобный продукт,NO
Тыквенные семечки,559,30,49,11,6,сырой съедобный продукт,NO
Укроп,43,3.5,1.1,7,2.1,сырой съедобный продукт,NO
Уксус бальзамический,88,0.5,0,17,0,готовый продукт,NO
Уксус винный,19,0,0,0.3,0,готовый продукт,NO
Фасоль,127,8.7,0.5,22.8,6.4,готовый / отварной,YES
Фета,265,14.2,21.5,3.9,0,как продаётся,YES
Фисташки,562,20,45,28,10,сырой съедобный продукт,NO
Форель,148,20.5,6.5,0,0,сырой продукт,YES
Хлеб цельнозерновой,247,13,4.2,41,7,сырой съедобный продукт,NO
Хумус,166,8,10,14,6,готовый продукт,NO
Цветная капуста,25,1.9,0.3,5,2,сырой съедобный продукт,NO
Чеддер,403,25,33,1.3,0,как продаётся,NO
Черника,57,0.7,0.3,14,2.4,сырой съедобный продукт,NO
Чеснок,149,6.4,0.5,33.1,2.1,сырой съедобный продукт,NO
Чечевица,116,9.0,0.4,20.1,7.9,готовый / отварной,YES
Чёрная смородина,63,1.4,0.4,15,6.8,сырой съедобный продукт,NO
Чёрный перец,251,10.4,3.3,64,25,как продаётся,NO
Шпинат,23,2.9,0.4,3.6,2.2,сырой съедобный продукт,NO
Яблоко,52,0.3,0.2,14,2.4,сырой съедобный продукт,NO
Яйца,143,13,10,1.1,0,сырой продукт,NO
