scenario,meal,eligible_recipes,pool_status
any/any,Завтрак,75,OK
any/any,Обед,102,OK
any/any,Перекус,43,OK
any/any,Ужин,87,OK
any/mid,Завтрак,55,OK
any/mid,Обед,97,OK
any/mid,Перекус,37,OK
any/mid,Ужин,87,OK
any/budget,Завтрак,18,OK
any/budget,Обед,27,OK
any/budget,Перекус,10,OK
any/budget,Ужин,25,OK
vegetarian/any,Завтрак,66,OK
vegetarian/any,Обед,26,OK
vegetarian/any,Перекус,42,OK
vegetarian/any,Ужин,33,OK
vegetarian/mid,Завтрак,46,OK
vegetarian/mid,Обед,25,OK
vegetarian/mid,Перекус,36,OK
vegetarian/mid,Ужин,33,OK
vegetarian/budget,Завтрак,18,OK
vegetarian/budget,Обед,11,OK
vegetarian/budget,Перекус,9,OK
vegetarian/budget,Ужин,14,OK
lactosefree/any,Завтрак,32,OK
lactosefree/any,Обед,82,OK
lactosefree/any,Перекус,20,OK
lactosefree/any,Ужин,83,OK
lactosefree/mid,Завтрак,28,OK
lactosefree/mid,Обед,77,OK
lactosefree/mid,Перекус,20,OK
lactosefree/mid,Ужин,83,OK
lactosefree/budget,Завтрак,10,OK
lactosefree/budget,Обед,17,OK
lactosefree/budget,Перекус,9,OK
lactosefree/budget,Ужин,25,OK
gentle/any,Завтрак,32,OK
gentle/any,Обед,44,OK
gentle/any,Перекус,22,OK
gentle/any,Ужин,44,OK
gentle/mid,Завтрак,28,OK
gentle/mid,Обед,40,OK
gentle/mid,Перекус,22,OK
gentle/mid,Ужин,44,OK
gentle/budget,Завтрак,11,OK
gentle/budget,Обед,12,OK
gentle/budget,Перекус,8,OK
gentle/budget,Ужин,18,OK
stove10,Завтрак,43,OK
stove10,Обед,8,OK
stove10,Перекус,43,OK
stove10,Ужин,9,OK
microwave10,Завтрак,36,OK
microwave10,Обед,8,OK
microwave10,Перекус,31,OK
microwave10,Ужин,9,OK
