recipe,meal,total_mass_g,status,issues,kcal,protein,fat,carbs,fiber
Овсянка с черникой и йогуртом,Завтрак,338,approved,,450.5,26.2,12.0,59.2,12.3
Овсянка с малиной и миндалём,Завтрак,342,approved,,458.8,17.6,19.2,56.7,13.5
Овсянка с яблоком и льном,Завтрак,383,approved,,452.8,15.7,15.7,64.9,12.4
Овсянка с грушей и грецким орехом,Завтрак,441,approved,,518.9,17.0,21.2,66.6,11.1
Овсянка с бананом и сливочным маслом,Завтрак,349,approved,,454.1,14.0,15.5,66.8,8.2
Гречневая каша с яблоком,Завтрак,397,approved,,479.5,17.4,12.7,82.2,14.8
Киноа с клубникой и йогуртом,Завтрак,362,approved,,431.2,25.8,7.7,64.9,6.6
Йогурт-боул с голубикой,Завтрак,342,approved,,483.7,27.4,15.8,58.3,9.4
Йогурт-боул с малиной и чиа,Завтрак,392,approved,,342.4,20.8,8.9,48.7,13.4
Творог с клубникой и миндалём,Завтрак,317,approved,,390.0,35.2,18.3,26.7,4.4
Творог с черникой и бананом,Завтрак,392,approved,,433.3,34.8,13.9,48.7,9.7
Творожные оладьи с овсянкой,Завтрак,335,approved,,505.0,40.0,16.9,51.5,6.6
Омлет со шпинатом и томатами,Завтрак,387,approved,,398.3,28.5,28.5,10.5,3.7
Омлет с брокколи и сыром,Завтрак,318,approved,,355.6,29.2,22.4,13.6,4.3
Омлет с индейкой и перцем,Завтрак,430,approved,,437.2,54.5,18.8,11.7,3.1
Яичница с авокадо и тостом,Завтрак,378,approved,,466.7,25.2,28.0,34.3,9.7
Скрэмбл со слабосолёным лососем и шпинатом,Завтрак,252,approved,,344.8,30.9,23.8,4.4,1.6
"Тост с авокадо, фетой и помидорами",Завтрак,288,approved,,392.3,16.5,20.5,40.8,10.8
Тост с рикоттой и клубникой,Завтрак,263,approved,,358.0,17.7,14.3,42.2,6.0
Тост с тунцом и огурцом,Завтрак,534,approved,,503.9,61.3,12.4,35.7,5.0
Буррито-завтрак с яйцом и фасолью,Завтрак,427,approved,,588.4,38.3,31.5,42.1,12.1
Французский тост с творогом и малиной,Завтрак,330,approved,,477.2,36.2,14.9,54.5,10.9
Фриттата со шпинатом и творогом,Завтрак,304,approved,,347.1,35.0,21.3,7.4,1.8
Рисовая каша с вишней,Завтрак,374,approved,,511.0,15.4,15.8,79.1,4.9
Кефирный боул с ягодами,Завтрак,459,approved,,417.1,15.5,10.3,65.9,13.4
Смузи с бананом и черникой,Завтрак,432,approved,,478.6,25.0,8.0,78.1,10.4
Смузи с манго и кефиром,Завтрак,473,approved,,359.0,11.3,10.8,58.6,9.6
Смузи с клубникой и бананом,Завтрак,460,approved,,287.0,16.6,6.9,42.7,5.0
Чиа-пудинг с малиной,Завтрак,464,approved,,354.2,25.4,14.3,32.3,10.6
Чиа-пудинг с черникой,Завтрак,392,approved,,323.5,10.0,10.7,51.8,9.7
Тост с фетой и томатами,Завтрак,342,approved,,345.3,19.8,16.4,33.1,7.4
Горячий сэндвич с индейкой,Завтрак,425,approved,,562.5,54.0,22.7,36.4,5.8
Картофельный завтрак с яйцом,Завтрак,576,approved,,426.4,24.0,16.9,48.3,8.7
Батат с яйцом и авокадо,Завтрак,381,approved,,443.4,20.1,21.7,46.5,10.2
Киноа-омлет с овощами,Завтрак,484,approved,,508.9,27.7,20.7,55.0,8.9
Творожные панкейки с черникой,Завтрак,335,approved,,473.0,38.1,16.4,45.4,6.7
Творожная миска с ежевикой,Завтрак,288,approved,,374.2,34.6,21.1,16.9,6.0
Йогурт с красной смородиной,Завтрак,342,approved,,485.8,28.3,16.6,57.2,11.5
Йогурт с чёрной смородиной,Завтрак,392,approved,,352.3,21.0,8.6,51.4,13.7
Перловая каша с грушей,Завтрак,410,approved,,530.6,16.7,14.8,88.1,16.9
Курица с рисом и брокколи,Обед,484,approved,,715.0,50.3,21.4,82.0,6.5
Курица с гречкой и кабачком,Обед,655,approved,,630.7,55.6,14.0,76.9,12.1
Курица с булгуром и перцем,Обед,572,approved,,584.9,57.3,7.3,75.7,15.4
Курица с киноа и авокадо,Обед,511,approved,,737.0,51.6,29.0,70.5,11.3
Индейка с гречкой и овощами,Обед,594,approved,,611.5,54.4,11.2,78.6,12.3
Индейка с бурым рисом,Обед,484,approved,,712.3,53.1,21.0,80.5,8.2
Индейка с кускусом,Обед,683,approved,,608.7,61.4,5.6,76.5,8.1
Говядина с булгуром,Обед,540,approved,,703.2,49.7,23.6,80.2,15.8
Говядина с гречкой и свёклой,Обед,579,approved,,747.2,48.2,30.4,78.3,12.9
Свинина с картофелем и капустой,Обед,622,approved,,671.0,42.2,29.2,60.7,10.2
Лосось с киноа и авокадо,Обед,494,approved,,859.4,44.7,49.8,59.5,11.4
Лосось с картофелем и брокколи,Обед,647,approved,,810.7,42.6,45.9,58.6,11.3
Форель с булгуром,Обед,592,approved,,705.7,46.5,26.1,77.6,17.7
Треска с рисом и овощами,Обед,642,approved,,638.7,43.6,17.2,77.3,7.0
Треска с картофелем,Обед,647,approved,,610.0,41.7,25.9,54.7,10.4
Тунец с бурым рисом,Обед,502,approved,,722.2,47.9,27.8,72.6,9.2
Тунец с цельнозерновой пастой,Обед,525,approved,,638.1,55.0,17.6,63.6,11.1
Креветки с цельнозерновой пастой,Обед,625,approved,,624.3,51.4,17.8,66.0,10.7
Креветки с рисом и брокколи,Обед,492,approved,,708.4,47.0,26.5,75.7,6.8
Скумбрия с картофелем,Обед,697,approved,,673.3,36.5,35.7,54.3,8.7
Чечевица с киноа и шпинатом,Обед,481,approved,,633.4,29.2,23.2,85.0,20.7
Нут с тыквой и киноа,Обед,541,approved,,750.4,32.2,26.1,106.3,21.8
Фасоль с бурым рисом,Обед,486,approved,,810.9,26.3,31.7,113.0,22.7
Тофу с гречкой и брокколи,Обед,629,approved,,655.4,49.8,20.2,85.9,19.5
Тофу с рисом и овощами,Обед,599,approved,,640.2,42.0,18.0,87.1,10.3
Хумус-боул с нутом,Обед,626,approved,,828.6,33.9,28.7,122.9,29.3
Киноа-боул с фетой,Обед,561,approved,,573.7,25.3,26.2,63.8,10.1
Паста с курицей и шпинатом,Обед,589,approved,,685.6,57.2,17.5,75.3,13.4
Паста с индейкой и кабачком,Обед,669,approved,,683.0,58.5,15.8,77.3,13.0
Булгур с говядиной и овощами,Обед,620,approved,,725.2,48.6,23.6,87.4,19.0
Кускус с курицей и овощами,Обед,653,approved,,610.8,58.3,7.1,76.3,7.1
Перловка с индейкой и овощами,Обед,491,approved,,600.5,47.6,13.6,76.2,15.0
Картофельный боул с тунцом,Обед,798,approved,,670.8,65.2,18.8,58.7,7.2
Батат с курицей и авокадо,Обед,605,approved,,656.1,45.3,27.7,58.2,13.0
Батат с нутом и шпинатом,Обед,711,approved,,781.2,42.1,25.9,101.8,22.6
Тёплый салат с лососем,Обед,707,approved,,703.1,40.3,35.7,54.8,9.7
Тёплый салат с индейкой,Обед,567,approved,,597.3,55.5,11.8,71.1,12.0
Боул с креветками и киноа,Обед,514,approved,,684.1,49.1,30.0,60.3,12.4
Чечевичный боул с овощами,Обед,566,approved,,690.0,30.7,20.5,109.3,29.0
"Боул с фасолью, киноа и авокадо",Обед,466,approved,,788.7,30.9,33.4,99.6,25.2
Творог с малиной,Перекус,180,approved,,176.4,21.1,6.4,10.8,3.9
Творог с голубикой,Перекус,180,approved,,179.4,20.8,6.2,12.0,1.4
Творог с ягодами и орехами,Перекус,315,approved,,370.1,34.9,17.1,24.3,7.2
Йогурт с клубникой,Перекус,192,approved,,110.6,11.3,2.6,10.3,1.4
Йогурт с черникой и чиа,Перекус,190,approved,,170.4,12.9,5.7,17.4,4.8
Кефир с голубикой,Перекус,222,approved,,181.1,7.3,9.3,17.8,2.6
Яблоко с миндалём,Перекус,168,approved,,182.2,4.2,9.3,25.0,5.8
Груша с миндалём,Перекус,108,approved,,124.2,2.9,6.1,17.0,4.5
Банан с греческим йогуртом,Перекус,230,approved,,185.5,12.0,2.7,30.1,2.9
Киви с йогуртом,Перекус,198,approved,,135.2,11.7,2.8,16.5,2.3
Тост с творогом и перцем,Перекус,382,approved,,365.4,31.4,9.4,41.9,8.1
Персик с йогуртом и миндалём,Перекус,222,approved,,192.2,14.1,8.7,16.4,2.9
Ягодный микс с йогуртом,Перекус,312,approved,,176.0,12.4,3.2,25.9,6.8
Ежевика с творогом,Перекус,190,approved,,201.4,21.3,6.3,17.8,3.2
Смородина с йогуртом,Перекус,190,approved,,155.8,11.7,2.6,22.0,4.1
Хумус с огурцом и перцем,Перекус,216,approved,,101.2,4.4,4.0,13.7,4.5
Хумус с морковью,Перекус,198,approved,,102.8,4.2,3.8,15.5,4.6
Тост с хумусом,Перекус,162,approved,,164.9,8.4,5.3,23.3,5.8
"Тост с рикоттой, помидорами и базиликом",Перекус,304,approved,,387.3,22.4,17.5,36.9,6.5
Тост с тунцом,Перекус,222,approved,,213.8,29.8,2.4,18.0,3.0
Яйцо с помидорами и огурцом,Перекус,260,approved,,119.1,9.4,6.3,8.2,1.7
Мини-омлет со шпинатом,Перекус,168,approved,,221.5,21.2,13.9,4.2,1.3
Смузи клубника-банан,Перекус,294,approved,,166.6,5.8,4.2,28.1,3.3
Смузи черника-йогурт,Перекус,252,approved,,185.9,12.0,2.8,29.8,3.3
Смузи киви-манго,Перекус,312,approved,,177.5,6.0,4.5,30.3,3.7
Ореховый перекус с яблоком,Перекус,102,approved,,125.3,2.1,8.0,14.3,3.0
