recipe,master_qa_status,conflict_count,failed_checks
Овсянка с черникой и йогуртом,approved,0,
Овсянка с малиной и миндалём,approved,0,
Овсянка с яблоком и льном,approved,0,
Овсянка с грушей и грецким орехом,approved,0,
Овсянка с бананом и сливочным маслом,approved,0,
Гречневая каша с яблоком,approved,0,
Киноа с клубникой и йогуртом,approved,0,
Йогурт-боул с голубикой,approved,0,
Йогурт-боул с малиной и чиа,approved,1,qualityStatus
Творог с клубникой и миндалём,approved,1,qualityStatus
Творог с черникой и бананом,approved,1,qualityStatus
Творожные оладьи с овсянкой,approved,0,
Омлет со шпинатом и томатами,approved,0,
Омлет с брокколи и сыром,approved,0,
Омлет с индейкой и перцем,approved,0,
Яичница с авокадо и тостом,approved,0,
Скрэмбл со слабосолёным лососем и шпинатом,approved,0,
"Тост с авокадо, фетой и помидорами",approved,0,
Тост с рикоттой и клубникой,approved,0,
Тост с тунцом и огурцом,approved,0,
Буррито-завтрак с яйцом и фасолью,approved,0,
Французский тост с творогом и малиной,approved,0,
Фриттата со шпинатом и творогом,approved,0,
Рисовая каша с вишней,approved,0,
Кефирный боул с ягодами,approved,0,
Смузи с бананом и черникой,approved,0,
Смузи с манго и кефиром,approved,1,qualityStatus
Смузи с клубникой и бананом,approved,1,qualityStatus
Чиа-пудинг с малиной,approved,1,qualityStatus
Чиа-пудинг с черникой,approved,1,qualityStatus
Тост с фетой и томатами,approved,0,
Горячий сэндвич с индейкой,approved,0,
Картофельный завтрак с яйцом,approved,0,
Батат с яйцом и авокадо,approved,0,
Киноа-омлет с овощами,approved,0,
Творожные панкейки с черникой,approved,0,
Творожная миска с ежевикой,approved,1,qualityStatus
Йогурт с красной смородиной,approved,0,
Йогурт с чёрной смородиной,approved,1,qualityStatus
Перловая каша с грушей,approved,0,
Курица с рисом и брокколи,approved,0,
Курица с гречкой и кабачком,approved,0,
Курица с булгуром и перцем,approved,0,
Курица с киноа и авокадо,approved,0,
Индейка с гречкой и овощами,approved,0,
Индейка с бурым рисом,approved,0,
Индейка с кускусом,approved,0,
Говядина с булгуром,approved,0,
Говядина с гречкой и свёклой,approved,0,
Свинина с картофелем и капустой,approved,0,
Лосось с киноа и авокадо,approved,0,
Лосось с картофелем и брокколи,approved,0,
Форель с булгуром,approved,0,
Треска с рисом и овощами,approved,0,
Треска с картофелем,approved,0,
Свежий тунец с бурым рисом и авокадо,approved,0,
Свежий тунец с цельнозерновой пастой и томатами,approved,0,
Креветки с цельнозерновой пастой,approved,0,
Креветки с рисом и брокколи,approved,0,
Скумбрия с картофелем,approved,0,
Чечевица с киноа и шпинатом,approved,0,
Нут с тыквой и киноа,approved,0,
Фасоль с бурым рисом,approved,0,
Тофу с гречкой и брокколи,approved,0,
Тофу с рисом и овощами,approved,0,
Хумус-боул с нутом,approved,0,
Киноа-боул с фетой,approved,0,
Паста с курицей и шпинатом,approved,0,
Паста с индейкой и кабачком,approved,0,
Булгур с говядиной и овощами,approved,0,
Кускус с курицей и овощами,approved,0,
Перловка с индейкой и овощами,approved,0,
Картофельный боул с тунцом,approved,0,
Батат с курицей и авокадо,approved,0,
Батат с нутом и шпинатом,approved,0,
Тёплый салат с лососем,approved,0,
Тёплый салат с индейкой,approved,0,
Боул с креветками и киноа,approved,0,
Чечевичный боул с овощами,approved,0,
"Боул с фасолью, киноа и авокадо",approved,0,
Творог с малиной,approved,1,qualityStatus
Творог с голубикой,approved,1,qualityStatus
Творог с ягодами и орехами,approved,1,qualityStatus
Йогурт с клубникой,approved,1,qualityStatus
Йогурт с черникой и чиа,approved,1,qualityStatus
Кефир с голубикой,approved,1,qualityStatus
Яблоко с миндалём,approved,1,qualityStatus
Груша с миндалём,approved,1,qualityStatus
Банан с греческим йогуртом,approved,1,qualityStatus
Киви с йогуртом,approved,1,qualityStatus
Тост с творогом и перцем,approved,0,
Персик с йогуртом и миндалём,approved,1,qualityStatus
Ягодный микс с йогуртом,approved,1,qualityStatus
Ежевика с творогом,approved,1,qualityStatus
Смородина с йогуртом,approved,1,qualityStatus
Хумус с огурцом и перцем,approved,0,
Хумус с морковью и огурцом,approved,0,
Тост с хумусом и помидором,approved,0,
"Тост с рикоттой, помидорами и базиликом",approved,0,
Тост с тунцом в собственном соку и огурцом,approved,0,
Яйцо с помидорами и огурцом,approved,0,
Мини-омлет со шпинатом,approved,0,
Смузи клубника-банан,approved,1,qualityStatus
Смузи черника-йогурт,approved,1,qualityStatus
Смузи киви-манго,approved,1,qualityStatus
Ореховый перекус с яблоком,approved,1,qualityStatus
Фисташки с мандарином,approved,1,qualityStatus
Фета с помидорами и огурцом,approved,0,
Мини-тост с авокадо и помидором,approved,0,
Чиа-йогурт с клюквой,approved,1,qualityStatus
Курица с овощами на сковороде,approved,0,
Курица с цветной капустой,approved,0,
Индейка с брокколи,approved,0,
Индейка с бататом,approved,0,
Говядина с овощами,approved,0,
Свинина с капустой,approved,0,
Форель с брокколи и картофелем,approved,0,
Лосось с бататом,approved,0,
Форель с овощами,approved,0,
Треска с брокколи,approved,0,
Треска с цветной капустой,approved,0,
Салат с тунцом в собственном соку и авокадо,approved,0,
Креветки с кабачком,approved,0,
Креветки с брокколи,approved,0,
Скумбрия с салатом,approved,0,
Омлет с овощами,approved,0,
Омлет с фетой и шпинатом,approved,0,
Тофу с брокколи,approved,0,
Тофу с баклажаном,approved,0,
Чечевица с овощами,approved,0,
Нут с брокколи,approved,0,
Фасоль с овощами,approved,0,
Тёплый салат с курицей,approved,0,
Тёплый салат с индейкой и свёклой,approved,0,
Тёплый салат с форелью,approved,0,
Запечённый картофель с творогом и зеленью,approved,0,
"Батат с чечевицей, фетой и шпинатом",approved,0,
Запечённая цветная капуста с нутом,approved,0,
Баклажан с индейкой,approved,0,
Кабачок с курицей и сыром,approved,0,
Тыква с чечевицей,approved,0,
"Боул с фасолью, киноа и сладким перцем",approved,0,
Киноа с яйцом и овощами,approved,0,
Гречка с тофу и шпинатом,approved,0,
Булгур с креветками,approved,0,
Кускус с тунцом в собственном соку и овощами,approved,0,
Паста с тунцом и шпинатом,approved,0,
Паста с тофу и овощами,approved,0,
Рис с яйцом и овощами,approved,0,
