recipe,old_kcal,new_kcal,old_protein_g,new_protein_g
Омлет с индейкой и перцем,452.2,420.1,61.0,52.9
Буррито-завтрак с яйцом и фасолью,812.3,571.3,54.7,36.8
Горячий сэндвич с индейкой,594.0,562.5,62.0,54.0
Курица с рисом и брокколи,791.5,715.0,64.8,50.3
Курица с гречкой и кабачком,707.2,630.7,70.1,55.6
Курица с булгуром и перцем,661.4,584.9,71.8,57.3
Курица с киноа и авокадо,813.5,737.0,66.1,51.6
Индейка с гречкой и овощами,647.2,611.5,63.4,54.4
Индейка с бурым рисом,748.0,712.3,62.1,53.1
Индейка с кускусом,644.4,608.7,70.4,61.4
Говядина с булгуром,768.8,703.2,57.1,49.7
Говядина с гречкой и свёклой,812.8,747.2,55.5,48.2
Свинина с картофелем и капустой,754.2,671.0,54.4,42.2
Форель с булгуром,772.9,705.7,46.5,46.5
Тунец с бурым рисом,759.0,722.2,55.3,47.9
Тунец с цельнозерновой пастой,674.9,638.1,62.4,55.0
Креветки с цельнозерновой пастой,649.5,624.3,58.4,51.4
Креветки с рисом и брокколи,733.6,708.4,54.0,47.0
Чечевица с киноа и шпинатом,869.4,633.4,45.2,29.2
Нут с тыквой и киноа,1010.4,750.4,45.4,32.2
Фасоль с бурым рисом,1078.7,810.9,46.2,26.3
Хумус-боул с нутом,1088.6,828.6,47.1,33.9
Паста с курицей и шпинатом,762.1,685.6,71.6,57.2
Паста с индейкой и кабачком,718.7,683.0,67.5,58.5
Булгур с говядиной и овощами,790.8,725.2,56.0,48.6
Кускус с курицей и овощами,687.3,610.8,72.7,58.3
Перловка с индейкой и овощами,632.0,600.5,55.5,47.6
Батат с курицей и авокадо,732.6,656.1,59.7,45.3
Батат с нутом и шпинатом,1041.2,781.2,55.3,42.1
Тёплый салат с индейкой,633.0,597.3,64.6,55.5
Боул с креветками и киноа,709.3,684.1,56.2,49.1
Чечевичный боул с овощами,926.0,690.0,46.7,30.7
"Боул с фасолью, киноа и авокадо",1097.7,788.7,53.9,30.9
Мини-омлет со шпинатом,251.2,238.7,24.5,22.8
Курица с овощами на сковороде,468.3,399.5,57.1,44.1
Курица с цветной капустой,542.9,474.1,54.2,41.2
Индейка с брокколи,469.0,436.9,52.7,44.5
Индейка с бататом,526.3,494.1,49.5,41.4
Говядина с овощами,532.6,473.5,47.3,40.7
Свинина с капустой,571.0,496.1,45.5,34.6
Форель с брокколи и картофелем,581.5,514.3,42.3,42.3
Форель с овощами,473.4,412.9,34.4,34.4
Креветки с кабачком,384.9,362.3,45.2,38.9
Креветки с брокколи,462.6,439.9,45.0,38.7
Чечевица с овощами,615.9,403.5,33.4,19.0
Нут с брокколи,846.4,612.4,50.3,38.5
Фасоль с овощами,766.3,525.3,38.1,20.2
Тёплый салат с курицей,547.2,478.4,52.8,39.8
Тёплый салат с индейкой и свёклой,434.3,402.2,49.4,41.3
Тёплый салат с форелью,546.7,486.2,33.7,33.7
"Батат с чечевицей, фетой и шпинатом",905.5,551.9,49.4,25.4
Запечённая цветная капуста с нутом,807.6,573.6,47.7,35.8
Баклажан с индейкой,613.8,563.0,68.5,57.7
Кабачок с курицей и сыром,577.3,508.5,61.3,48.3
Тыква с чечевицей,589.4,377.0,32.9,18.5
Перец с фасолью и киноа,897.4,656.4,45.6,27.7
Булгур с креветками,580.5,557.9,50.7,44.4
Мультиварочный нут с овощами,731.8,497.8,32.5,20.7
Омлет с курицей и перцем,498.1,429.2,64.1,51.1
Горячий сэндвич с курицей,639.9,571.7,65.0,52.2
Индейка с рисом и брокколи,740.5,704.8,61.4,52.4
Курица с кускусомом и перцем,686.9,610.4,72.4,57.9
Курица с гречкой и овощами,698.2,621.7,66.8,52.4
Курица с бурым рисом,799.0,722.5,65.5,51.0
Курица с кускусом,695.4,618.9,73.8,59.4
Говядина с кускусомом,794.3,728.7,57.7,50.3
Индейка с гречкой и свёклой,681.6,648.0,60.3,51.9
Свинина с бататом и капустой,776.7,693.5,53.4,41.2
Форель с киноа и авокадо,830.6,763.4,45.5,45.5
Форель с кускусомом,798.4,731.2,47.1,47.1
Креветки с булгуромом и брокколи,707.1,681.9,57.3,50.3
Чечевица с киноа и брокколи,880.4,644.4,45.1,29.1
Паста с курицей и кабачком,769.7,693.2,70.9,56.4
Кускус с говядиной и овощами,816.3,750.7,56.6,49.2
Перловка с курицей и овощами,677.0,609.5,58.5,45.8
Батат с нутом и брокколи,1052.2,792.2,55.2,42.0
Мини-омлет с брокколи,257.8,245.3,24.5,22.7
Индейка с овощами на сковороде,422.4,390.3,54.0,45.9
Курица с брокколи,514.9,446.0,55.7,42.7
Курица с бататом,572.2,503.3,52.5,39.5
Индейка с баклажаном и булгуром,496.2,464.7,56.3,48.4
Креветки с баклажаном,397.9,375.2,44.9,38.6
Креветки с зелёной фасолью,457.8,435.1,43.4,37.1
Нут с зелёной фасолью,841.6,607.6,48.7,36.9
Тёплый салат с курицей и свёклой,480.2,411.3,52.5,39.5
Баклажан с курицей,659.7,572.2,71.5,55.9
Кабачком с фасолью и киноа,878.5,637.5,45.9,28.0
Кускус с креветками,603.7,581.0,51.3,44.9
Омлет с индейкой и кабачком,433.3,401.2,61.3,53.2
Яйца с форелью и шпинатом,506.9,446.4,46.4,46.4
Индейка с гречкой и кабачком,656.2,620.5,66.7,57.7
Индейка с булгуром и перцем,610.4,574.7,68.4,59.4
Индейка с киноа и авокадо,762.5,726.8,62.7,53.6
Индейка с перловкой и овощами,653.9,618.2,61.1,52.1
Индейка с киноаом,638.4,602.7,71.3,62.3
Индейка с булгуром,637.6,604.0,61.9,53.4
Говядина с перловкой и свёклой,819.6,754.0,53.2,45.8
Форель с картофелем и зелёной фасолью,560.7,495.6,39.2,39.2
Креветки с рисом и зелёной фасолью,728.2,703.0,52.2,45.2
Паста с индейкой и шпинатом,711.1,675.4,68.2,59.2
Паста с индейкой и баклажаном,733.1,697.4,67.1,58.1
Булгур с индейкой и овощами,659.6,626.0,60.8,52.3
Кускус с индейкой и овощами,636.3,600.6,69.3,60.3
Батат с индейкой и авокадо,681.6,645.9,56.3,47.3
Индейка с цветной капустой,497.0,464.9,51.2,43.1
Индейка с зелёной фасолью,464.1,432.0,51.0,42.9
Форель с брокколи,476.6,416.2,35.7,35.7
Форель с бататом,599.0,538.6,35.7,35.7
Форель с булгуром и брокколи,613.9,546.7,44.8,44.8
Кабачок с индейкой и сыром,531.4,499.3,58.2,50.1
"Омлет с моцареллой, помидорами и базиликом",341.5,331.1,28.0,26.5
"Киноа-боул с курицей, авокадо и томатами",652.7,585.2,58.0,45.3
"Булгур с индейкой, кабачком и йогуртовым соусом",499.3,467.8,57.1,49.2
"Кускус с курицей, перцем и лимонной заправкой",609.5,542.0,57.0,44.3
"Рис с индейкой, брокколи и соево-имбирным соусом",521.1,489.6,54.1,46.1
"Говядина с рисом, перцем и имбирём",636.5,575.0,46.8,39.9
"Чечевица с булгуром, томатами и петрушкой",843.1,465.5,48.7,23.1
"Нут с кускусом, перцем и тахини",962.8,642.8,42.8,26.7
Паста с курицей и томатно-базиликовым соусом,604.5,539.2,58.6,46.3
Форель с кускусом и брокколи,634.3,567.1,45.3,45.3
Креветки с рисом и кабачком в соево-имбирном соусе,443.4,419.6,48.6,42.0
Свинина с гречкой и горчичным соусом,601.0,523.0,54.8,43.4
"Тёплый салат с курицей, свёклой и фетой",458.0,393.1,53.3,41.0
Запечённый батат с нутом и тахини,882.1,582.1,37.7,22.5
"Киноа с чечевицей, огурцом и лимонной заправкой",843.6,489.6,47.9,23.9
"Индейка с перловкой, кабачком и шпинатом",501.2,469.7,57.0,49.0
Курица с гречкой и зелёной фасолью,548.3,480.8,61.1,48.3
Булгур быстрого приготовления с нутом и томатами,763.9,503.9,33.9,20.8
Креветки с кускусом и лимоном,447.8,425.4,47.0,40.8
Тёплый боул с фасолью и рисом,802.7,514.3,40.2,18.8
Тёплый кускус с чечевицей и шпинатом,801.9,471.5,46.0,23.6
Картофель с фасолью и томатным соусом,734.6,425.6,43.4,20.4
Чечевица с рисом и морковью,834.7,480.7,44.3,20.3
Булгур с чечевицей и морковью,820.0,489.6,44.9,22.5
Рис с фасолью и перцем,791.7,482.7,42.8,19.8
Рис с курицей и морковью,573.8,506.3,53.6,40.8
Индейка с гречкой и морковью,547.6,516.1,55.1,47.2
