old_name,new_name
Гречневая каша с яблоком — с рис,Рисовая каша с яблоком
Омлет со шпинатом и томатами — с перец,Омлет с помидорами и чеддером
Омлет с брокколи и сыром — с помидоры,Омлет с помидорами и гаудой
Омлет с индейкой и перцем — с помидоры,Омлет с помидорами
Яичница с авокадо и тостом — с перец,Омлет с перцем
Тост с авокадо и яйцом — с перец,Тост с яйцом
Тост с тунцом и огурцом — с помидоры,Тост с тунцом №2
Буррито-завтрак с яйцом и фасолью — с помидоры,Тост с яйцом №2
Рисовая каша с вишней — с гречка,Гречневая каша с вишней
Тост с фетой и томатами — с перец,Тост с фетой
Горячий сэндвич с индейкой — с перец,Тост с индейкой
Киноа-омлет с овощами — с рис,Омлет с перцем №2
Киноа-омлет с овощами — с помидоры,Омлет с помидорами №2
Курица с рисом и брокколи — с гречка,Курица с гречкой и брокколи
Курица с рисом и брокколи — с помидоры,Курица с рисом и помидорами
Курица с гречкой и кабачком — с рис,Курица с рисом и помидорами №2
Курица с гречкой и кабачком — с перец,Курица с гречкой и помидорами
Курица с булгуром и перцем — с рис,Курица с рисом и шпинатом
Курица с булгуром и перцем — с помидоры,Курица с булгуром и шпинатом
Курица с киноа и авокадо — с рис,Курица с рисом и огурцами
Курица с киноа и авокадо — с помидоры,Курица с киноа и помидорами
Индейка с гречкой и овощами — с рис,Индейка с рисом и огурцами
Индейка с гречкой и овощами — с помидоры,Индейка с гречкой и помидорами
Индейка с бурым рисом — с помидоры,Индейка с бурым рисом и помидорами
Индейка с кускусом — с рис,Индейка с рисом и помидорами
Индейка с кускусом — с перец,Индейка с кускусом и помидорами
Говядина с булгуром — с рис,Говядина с рисом и шпинатом
Говядина с булгуром — с помидоры,Говядина с булгуром и шпинатом
Говядина с гречкой и свёклой — с рис,Говядина с рисом и огурцами
Говядина с гречкой и свёклой — с помидоры,Говядина с гречкой и помидорами
Свинина с картофелем и капустой — с рис,Свинина постная с рисом и капустой
Лосось с киноа и авокадо — с рис,Лосось с рисом и огурцами
Лосось с киноа и авокадо — с помидоры,Лосось с киноа и помидорами
Лосось с картофелем и брокколи — с рис,Лосось с рисом и брокколи
Лосось с картофелем и брокколи — с помидоры,Лосось с картофелем и помидорами
Форель с булгуром — с рис,Форель с рисом и помидорами
Форель с булгуром — с перец,Форель с булгуром и перцем
Треска с рисом и овощами — с гречка,Треска с гречкой и перцем
Треска с рисом и овощами — с помидоры,Треска с рисом и помидорами
Треска с картофелем — с рис,Треска с рисом и капустой
Тунец с бурым рисом — с помидоры,Тунец с бурым рисом и помидорами
Тунец с цельнозерновой пастой — с рис,Тунец с рисом и шпинатом
Тунец с цельнозерновой пастой — с перец,Тунец с цельнозерновой пастой и шпинатом
Креветки с цельнозерновой пастой — с рис,Креветки с рисом и помидорами
Креветки с цельнозерновой пастой — с перец,Креветки с цельнозерновой пастой и помидорами
Креветки с рисом и брокколи — с гречка,Креветки с гречкой и брокколи
Креветки с рисом и брокколи — с помидоры,Креветки с рисом и помидорами №2
Скумбрия с картофелем — с рис,Скумбрия с рисом и огурцами
Скумбрия с картофелем — с помидоры,Скумбрия с картофелем и помидорами
Чечевица с киноа и шпинатом — с рис,Чечевица с рисом и шпинатом
Чечевица с киноа и шпинатом — с перец,Чечевица с киноа и помидорами
Нут с тыквой и киноа — с рис,Нут с рисом и шпинатом
Нут с тыквой и киноа — с помидоры,Нут с киноа и помидорами
Фасоль с бурым рисом — с помидоры,Фасоль с бурым рисом и помидорами
Тофу с гречкой и брокколи — с рис,Тофу с рисом и брокколи
Тофу с гречкой и брокколи — с помидоры,Тофу с гречкой и помидорами
Тофу с рисом и овощами — с гречка,Тофу с гречкой и кабачком
Тофу с рисом и овощами — с помидоры,Тофу с рисом и помидорами
Хумус-боул с нутом — с рис,Боул с нутом и рисом
Хумус-боул с нутом — с перец,Боул с нутом и булгуром
Киноа-боул с фетой — с рис,Боул с фетой и рисом
Киноа-боул с фетой — с перец,Боул с фетой и киноа
Булгур с говядиной и овощами — с рис,Говядина с рисом и перцем
Булгур с говядиной и овощами — с помидоры,Говядина с булгуром и помидорами
Кускус с курицей и овощами — с рис,Курица с рисом и помидорами №3
Кускус с курицей и овощами — с перец,Курица с кускусом и помидорами
Перловка с индейкой и грибным стилем — с помидоры,Индейка с перловкой и помидорами
Картофельный боул с тунцом — с рис,Боул с тунцом и рисом
Картофельный боул с тунцом — с помидоры,Боул с тунцом и картофелем
Батат с курицей и авокадо — с рис,Курица с рисом и авокадо
Батат с нутом и шпинатом — с рис,Нут с рисом и шпинатом №2
Батат с нутом и шпинатом — с помидоры,Нут с бататом и помидорами
Тёплый салат с лососем — с рис,Салат с лососем и помидорами
Тёплый салат с лососем — с перец,Салат с лососем и перцем
Тёплый салат с индейкой — с рис,Салат с индейкой и огурцами
Тёплый салат с индейкой — с помидоры,Салат с индейкой и помидорами
Боул с креветками и киноа — с рис,Боул с креветками и рисом
Боул с креветками и киноа — с перец,Боул с креветками и киноа №2
Чечевичный боул с овощами — с рис,Боул с чечевицей и рисом
Чечевичный боул с овощами — с помидоры,Боул с чечевицей и булгуром
Фасолевый боул с кукурузным стилем — с рис,Боул с фасолью и рисом
Фасолевый боул с кукурузным стилем — с помидоры,Боул с фасолью и киноа
Тост с хумусом — с перец,Тост с перцем
Тост с творогом — с помидоры,Тост с творогом №2
Тост с тунцом — с помидоры,Тост с тунцом №3
Мини-омлет со шпинатом — с помидоры,Омлет с помидорами и моцареллой
Авокадо-тост мини — с перец,Тост с перцем №2
Курица с овощами на сковороде — с помидоры,Курица с брокколи
Курица с цветной капустой — с помидоры,Курица с шпинатом
Индейка с брокколи — с помидоры,Индейка с помидорами
Индейка с бататом — с рис,Индейка с рисом и салатом
Говядина с овощами — с помидоры,Говядина с помидорами
Свинина с капустой — с помидоры,Свинина постная с помидорами
Лосось с брокколи — с помидоры,Лосось с помидорами
Лосось с бататом — с рис,Лосось с рисом и шпинатом
Лосось с бататом — с помидоры,Лосось с бататом и помидорами
Форель с овощами — с перец,Форель с помидорами
Треска с брокколи — с рис,Треска с рисом и брокколи
Треска с брокколи — с помидоры,Треска с картофелем и помидорами
Треска с цветной капустой — с помидоры,Треска с шпинатом
Тунец с овощным салатом — с перец,Салат с тунцом и помидорами
Креветки с кабачком — с помидоры,Креветки с шпинатом
Креветки с брокколи — с перец,Креветки с помидорами
Скумбрия с салатом — с перец,Салат с скумбрией и помидорами
Омлет с овощами — с кабачок,Омлет с помидорами №3
Омлет с творогом и шпинатом — с помидоры,Омлет с помидорами и творогом
Тофу с брокколи — с помидоры,Тофу с помидорами
Тофу с баклажаном — с перец,Тофу с шпинатом
Чечевица с овощами — с перец,Чечевица с шпинатом
Нут с брокколи — с перец,Нут с помидорами
Фасоль с овощами — с кабачок,Фасоль с помидорами
